Age,Age_Group,Income,Marital_Status,Education_Level,Kidhome,Teenhome,Has_Children,Customer_Days,Customer_Tenure_Years,Customer_Tenure_Group,Recency,NumWebPurchases,NumStorePurchases,NumCatalogPurchases,NumDealsPurchases,NumWebVisitsMonth,MntTotal,MntGoldProds,Premium_Spend_Share,Is_High_Value_Customer,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,MntRegularProds,AcceptedCmpOverall
53,Mid-Age,32474.0,Together,Graduation,1,1,True,2208,6.05,Newer,0,1,2,0,1,7,11.0,0.0,0.0,False,10.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,3,11,0,11,0
41,Adults,88194.0,Single,2n Cycle,0,1,True,2261,6.19,Newer,19,11,10,10,1,5,1236.0,38.0,0.0307,True,688.0,14.0,309.0,201.0,24.0,1,0,0,1,0,0,3,11,1,1198,2
62,Seniors,69096.0,Together,Graduation,0,1,True,2434,6.66,Newer,4,5,10,2,1,4,544.0,109.0,0.2004,False,247.0,49.0,159.0,7.0,82.0,0,0,0,0,0,0,3,11,0,435,0
50,Mid-Age,74854.0,Together,Graduation,1,2,True,2606,7.13,Established,90,2,5,5,7,5,1489.0,73.0,0.049,True,856.0,59.0,487.0,58.0,29.0,0,0,0,0,0,0,3,11,0,1416,0
66,Seniors,66991.0,Married,Master,0,0,False,2815,7.71,Established,1,4,6,8,3,3,1241.0,12.0,0.0097,True,496.0,36.0,460.0,189.0,60.0,0,0,0,0,0,0,3,11,0,1229,0
61,Seniors,65031.0,Married,Graduation,0,1,True,2628,7.2,Established,29,10,13,3,4,7,777.0,86.0,0.1107,False,258.0,107.0,291.0,84.0,37.0,0,0,0,0,0,0,3,11,0,691,0
45,Mid-Age,60631.0,Married,PhD,1,1,True,2609,7.14,Established,88,9,8,2,5,7,642.0,19.0,0.0296,False,565.0,6.0,65.0,0.0,6.0,0,1,0,0,0,0,3,11,0,623,1
68,Seniors,28332.0,Married,Graduation,0,0,False,2219,6.08,Newer,58,2,4,1,1,2,56.0,9.0,0.1607,False,14.0,10.0,13.0,4.0,15.0,0,0,0,0,0,0,3,11,0,47,0
43,Adults,40246.0,Divorced,Graduation,1,0,True,2716,7.44,Established,68,1,2,0,1,6,12.0,1.0,0.0833,False,2.0,1.0,6.0,2.0,1.0,0,0,0,0,0,0,3,11,0,11,0
48,Mid-Age,75251.0,Married,Master,0,0,False,2830,7.75,Established,34,7,5,6,1,5,1872.0,18.0,0.0096,True,721.0,111.0,925.0,97.0,18.0,0,0,0,0,0,0,3,11,1,1854,0
44,Adults,75825.0,Single,Graduation,0,0,False,2784,7.62,Established,40,5,9,8,0,4,2158.0,51.0,0.0236,True,1032.0,105.0,779.0,137.0,105.0,1,0,0,0,0,0,3,11,1,2107,1
44,Adults,26326.0,Together,2n Cycle,0,0,False,2457,6.73,Newer,12,0,3,0,1,3,9.0,9.0,1.0,False,1.0,0.0,5.0,0.0,3.0,0,0,0,0,0,1,3,11,0,0,0
55,Mid-Age,56046.0,Together,Graduation,0,0,False,2702,7.4,Established,9,10,8,1,2,8,641.0,51.0,0.0796,False,577.0,0.0,64.0,0.0,0.0,1,0,0,0,0,0,3,11,1,590,1
35,Adults,29760.0,Single,Graduation,1,0,True,2828,7.74,Established,87,3,4,1,4,8,148.0,17.0,0.1149,False,64.0,4.0,68.0,7.0,5.0,0,0,0,0,0,0,3,11,0,131,0
51,Mid-Age,26304.0,Married,Graduation,1,0,True,2530,6.93,Established,5,1,2,0,1,7,12.0,4.0,0.3333,False,4.0,1.0,5.0,2.0,0.0,0,0,0,0,0,0,3,11,0,8,0
47,Mid-Age,23559.0,Married,2n Cycle,1,0,True,2520,6.9,Established,87,3,3,0,3,7,56.0,23.0,0.4107,False,25.0,5.0,19.0,7.0,0.0,0,0,0,0,0,0,3,11,0,33,0
33,Adults,81361.0,Divorced,Graduation,0,0,False,2283,6.25,Newer,18,3,13,10,1,1,702.0,76.0,0.1083,False,163.0,23.0,424.0,27.0,65.0,0,0,0,0,0,0,3,11,0,626,0
60,Seniors,29440.0,Married,Graduation,1,1,True,2481,6.79,Newer,95,1,4,0,2,7,53.0,3.0,0.0566,False,17.0,8.0,14.0,10.0,4.0,0,0,0,0,0,0,3,11,0,50,0
50,Mid-Age,36138.0,Married,Master,1,1,True,2507,6.86,Newer,48,3,4,1,5,7,146.0,5.0,0.0342,False,130.0,0.0,16.0,0.0,0.0,0,1,0,0,0,0,3,11,0,141,1
63,Seniors,50388.0,Single,Graduation,0,1,True,2191,6.0,Newer,3,6,6,1,4,7,338.0,34.0,0.1006,False,292.0,6.0,37.0,0.0,3.0,0,1,0,1,0,0,3,11,1,304,2
47,Mid-Age,79593.0,Married,Graduation,0,0,False,2207,6.04,Newer,70,5,7,6,1,2,1221.0,145.0,0.1188,True,350.0,60.0,568.0,110.0,133.0,0,0,1,0,0,0,3,11,0,1076,1
53,Mid-Age,54178.0,Together,Graduation,0,1,True,2318,6.35,Newer,79,2,5,2,1,2,187.0,7.0,0.0374,False,135.0,9.0,39.0,4.0,0.0,0,0,0,0,0,0,3,11,0,180,0
48,Mid-Age,42394.0,Single,Master,1,0,True,2257,6.18,Newer,69,1,3,0,1,7,28.0,4.0,0.1429,False,15.0,2.0,10.0,0.0,1.0,0,0,0,0,0,0,3,11,0,24,0
50,Mid-Age,23626.0,Married,PhD,1,0,True,2195,6.01,Newer,84,3,3,1,3,5,43.0,0.0,0.0,False,27.0,2.0,14.0,0.0,0.0,0,0,0,0,0,0,3,11,0,43,0
37,Adults,30096.0,Married,Graduation,1,0,True,2197,6.02,Newer,30,2,3,0,1,6,36.0,9.0,0.25,False,5.0,3.0,11.0,12.0,5.0,0,0,0,0,0,0,3,11,0,27,0
60,Seniors,47916.0,Widow,Graduation,0,1,True,2743,7.51,Established,72,7,6,4,5,6,531.0,75.0,0.1412,False,505.0,0.0,26.0,0.0,0.0,0,1,0,0,0,0,3,11,0,456,1
48,Mid-Age,51813.0,Divorced,Graduation,1,1,True,2603,7.13,Established,37,2,3,0,2,7,61.0,2.0,0.0328,False,51.0,2.0,7.0,0.0,1.0,0,0,0,0,0,0,3,11,0,59,0
69,Seniors,78497.0,Married,2n Cycle,0,0,False,2369,6.49,Newer,44,5,12,7,1,2,755.0,223.0,0.2954,False,207.0,26.0,447.0,75.0,0.0,0,0,0,1,0,0,3,11,0,532,1
37,Adults,50150.0,Married,PhD,0,0,False,2533,6.93,Established,32,5,7,2,2,5,399.0,11.0,0.0276,False,135.0,46.0,92.0,65.0,61.0,0,0,0,0,0,0,3,11,0,388,0
60,Seniors,47823.0,Single,2n Cycle,0,1,True,2500,6.84,Newer,0,2,3,0,2,8,62.0,10.0,0.1613,False,53.0,1.0,5.0,2.0,1.0,0,0,0,0,0,0,3,11,0,52,0
61,Seniors,34554.0,Single,PhD,0,1,True,2250,6.16,Newer,43,2,3,0,2,6,50.0,5.0,0.1,False,41.0,1.0,6.0,2.0,0.0,0,0,0,0,0,0,3,11,0,45,0
41,Adults,85693.0,Together,Graduation,0,1,True,2594,7.1,Established,59,9,11,5,2,5,1058.0,111.0,0.1049,True,386.0,172.0,183.0,185.0,132.0,0,0,0,0,0,0,3,11,0,947,0
75,Seniors,65846.0,Married,PhD,0,0,False,2567,7.03,Established,68,6,6,3,1,4,1039.0,81.0,0.078,True,562.0,81.0,276.0,80.0,40.0,0,0,0,0,0,0,3,11,0,958,0
61,Seniors,87195.0,Married,Graduation,0,0,False,2211,6.05,Newer,35,3,5,11,1,1,1059.0,38.0,0.0359,True,217.0,76.0,690.0,50.0,26.0,0,0,0,0,0,0,3,11,1,1021,0
41,Adults,24594.0,Together,Basic,1,0,True,2360,6.46,Newer,94,1,3,0,1,5,20.0,9.0,0.45,False,1.0,3.0,6.0,10.0,0.0,0,0,0,0,0,0,3,11,0,11,0
56,Mid-Age,49096.0,Married,Graduation,1,1,True,2437,6.67,Newer,15,4,4,1,4,7,180.0,7.0,0.0389,False,144.0,1.0,32.0,2.0,1.0,0,0,0,0,0,0,3,11,0,173,0
51,Mid-Age,52413.0,Married,Graduation,0,2,True,2671,7.31,Established,56,6,12,4,4,6,845.0,65.0,0.0769,False,295.0,106.0,271.0,75.0,98.0,0,0,0,0,0,0,3,11,0,780,0
42,Adults,38557.0,Single,Graduation,1,0,True,2716,7.44,Established,17,3,3,1,2,7,118.0,27.0,0.2288,False,76.0,3.0,31.0,4.0,4.0,0,0,0,0,0,0,3,11,0,91,0
60,Seniors,89058.0,Married,Master,0,0,False,2728,7.47,Established,18,5,4,4,1,2,807.0,43.0,0.0533,False,454.0,194.0,106.0,31.0,22.0,0,0,0,0,0,0,3,11,0,764,0
41,Adults,77298.0,Together,Graduation,0,1,True,2398,6.57,Newer,46,6,11,6,1,3,890.0,79.0,0.0888,False,425.0,115.0,292.0,23.0,35.0,0,0,0,0,0,0,3,11,0,811,0
29,Young Adults,68126.0,Single,PhD,0,0,False,2755,7.54,Established,40,7,5,4,1,9,1734.0,86.0,0.0496,True,1332.0,17.0,311.0,23.0,51.0,0,1,0,0,0,0,3,11,1,1648,1
57,Mid-Age,57288.0,Together,Master,0,1,True,2163,5.92,Newer,27,8,8,1,3,6,548.0,60.0,0.1095,False,527.0,0.0,21.0,0.0,0.0,0,1,0,0,0,0,3,11,0,488,1
29,Young Adults,86037.0,Single,Graduation,0,0,False,2702,7.4,Established,95,6,11,7,1,3,708.0,22.0,0.0311,False,490.0,44.0,125.0,29.0,20.0,0,1,1,0,0,0,3,11,1,686,2
40,Adults,43974.0,Married,PhD,1,0,True,2723,7.46,Established,19,6,6,4,5,7,479.0,72.0,0.1503,False,378.0,0.0,101.0,0.0,0.0,0,0,0,0,0,0,3,11,0,407,0
58,Mid-Age,50785.0,Single,Graduation,1,1,True,2451,6.71,Newer,27,2,3,1,2,6,87.0,27.0,0.3103,False,64.0,1.0,21.0,0.0,1.0,0,0,0,0,0,0,3,11,0,60,0
50,Mid-Age,90765.0,Married,Graduation,0,0,False,2315,6.34,Newer,25,4,5,6,0,1,1691.0,33.0,0.0195,True,547.0,99.0,812.0,151.0,82.0,0,0,1,1,0,0,3,11,0,1658,2
42,Adults,36550.0,Married,2n Cycle,1,0,True,2654,7.27,Established,74,9,5,1,5,9,457.0,120.0,0.2626,False,47.0,90.0,94.0,123.0,103.0,0,0,0,0,0,0,3,11,0,337,0
53,Mid-Age,30753.0,Together,2n Cycle,1,1,True,2512,6.88,Established,85,1,3,1,2,5,51.0,30.0,0.5882,False,12.0,5.0,25.0,0.0,9.0,0,0,0,0,0,0,3,11,0,21,0
51,Mid-Age,21918.0,Together,Graduation,1,0,True,2386,6.53,Newer,37,2,3,0,2,6,30.0,3.0,0.1,False,1.0,6.0,7.0,11.0,5.0,0,0,0,0,0,0,3,11,0,27,0
67,Seniors,56129.0,Together,Master,0,1,True,2533,6.93,Established,65,6,10,2,4,4,612.0,48.0,0.0784,False,320.0,48.0,133.0,39.0,72.0,0,0,0,0,0,0,3,11,0,564,0
53,Mid-Age,32557.0,Single,Master,1,0,True,2284,6.25,Newer,13,2,3,1,3,5,70.0,10.0,0.1429,False,34.0,3.0,29.0,0.0,4.0,0,0,0,0,0,0,3,11,1,60,0
35,Adults,19510.0,Married,Master,2,0,True,2457,6.73,Newer,63,1,3,0,2,7,23.0,7.0,0.3043,False,9.0,0.0,7.0,3.0,4.0,0,0,0,0,0,0,3,11,0,16,0
44,Adults,30992.0,Divorced,Graduation,1,0,True,2592,7.1,Established,83,1,3,0,1,7,41.0,2.0,0.0488,False,17.0,0.0,14.0,7.0,3.0,0,0,0,0,0,0,3,11,0,39,0
37,Adults,101970.0,Single,Graduation,0,0,False,2633,7.21,Established,69,6,13,8,0,2,967.0,168.0,0.1737,True,722.0,27.0,102.0,44.0,72.0,0,1,1,1,0,0,3,11,1,799,3
55,Mid-Age,71488.0,Together,2n Cycle,0,0,False,2655,7.27,Established,87,3,7,4,2,1,387.0,172.0,0.4444,False,162.0,33.0,124.0,40.0,28.0,0,0,0,0,0,0,3,11,0,215,0
36,Adults,79607.0,Single,Graduation,0,0,False,2593,7.1,Established,37,3,6,6,1,1,1707.0,216.0,0.1265,True,450.0,133.0,951.0,173.0,0.0,0,0,0,0,0,0,3,11,1,1491,0
67,Seniors,54348.0,Married,Master,1,1,True,2180,5.97,Newer,51,2,4,0,2,6,86.0,4.0,0.0465,False,70.0,0.0,16.0,0.0,0.0,0,0,0,0,0,0,3,11,0,82,0
64,Seniors,77376.0,Together,PhD,1,1,True,2209,6.05,Newer,72,6,10,3,4,4,649.0,12.0,0.0185,False,492.0,19.0,110.0,16.0,12.0,0,0,0,0,0,0,3,11,0,637,0
68,Seniors,62998.0,Married,Graduation,0,1,True,2431,6.66,Newer,10,5,5,4,5,5,405.0,58.0,0.1432,False,120.0,58.0,73.0,65.0,89.0,0,0,0,0,0,0,3,11,0,347,0
62,Seniors,61331.0,Single,Master,1,1,True,2635,7.21,Established,42,11,6,1,5,8,591.0,41.0,0.0694,False,534.0,5.0,47.0,0.0,5.0,0,0,0,0,0,0,3,11,0,550,0
51,Mid-Age,73448.0,Married,Graduation,0,0,False,2298,6.29,Newer,10,7,9,2,1,4,595.0,130.0,0.2185,False,236.0,106.0,189.0,23.0,41.0,0,0,0,0,0,0,3,11,0,465,0
56,Mid-Age,41551.0,Married,PhD,1,1,True,2478,6.78,Newer,51,5,5,1,5,8,256.0,23.0,0.0898,False,220.0,0.0,33.0,3.0,0.0,0,0,0,0,0,0,3,11,0,233,0
53,Mid-Age,62981.0,Together,PhD,0,0,False,2628,7.2,Established,21,4,13,5,1,3,1482.0,0.0,0.0,True,796.0,14.0,590.0,38.0,44.0,0,1,0,0,0,0,3,11,0,1482,1
44,Adults,9548.0,Divorced,Basic,1,0,True,2849,7.8,Established,31,1,3,0,2,8,20.0,9.0,0.45,False,0.0,1.0,3.0,10.0,6.0,0,0,0,0,0,0,3,11,0,11,0
61,Seniors,33762.0,Married,PhD,2,1,True,2516,6.89,Established,61,2,2,2,3,8,90.0,16.0,0.1778,False,53.0,1.0,34.0,2.0,0.0,0,0,0,0,0,0,3,11,0,74,0
